# Gene set generated on 2025-03-05T19:18:45 using cellxgene version 1.3.0
# Input data file was data/lmna_inhouse.h5ad, which was last modified on 2025-02-19T22:38:45
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop2 high (3/5/2025, 7:18:41 PM)",,MIR4432HG,
"Pop2 high (3/5/2025, 7:18:41 PM)",,MLIP,
"Pop2 high (3/5/2025, 7:18:41 PM)",,SLA,
"Pop2 high (3/5/2025, 7:18:41 PM)",,CNTNAP3B,
"Pop2 high (3/5/2025, 7:18:41 PM)",,ADAMTS12,
"Pop2 high (3/5/2025, 7:18:41 PM)",,RDH10,
"Pop2 high (3/5/2025, 7:18:41 PM)",,MCF2L,
"Pop2 high (3/5/2025, 7:18:41 PM)",,SMCO2,
"Pop2 high (3/5/2025, 7:18:41 PM)",,MYBL1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,FBLN5,
"Pop2 high (3/5/2025, 7:18:41 PM)",,RP11-624M8.1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,TRPM6,
"Pop2 high (3/5/2025, 7:18:41 PM)",,HP,
"Pop2 high (3/5/2025, 7:18:41 PM)",,RAI14,
"Pop2 high (3/5/2025, 7:18:41 PM)",,RP11-150C16.1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,COLQ,
"Pop2 high (3/5/2025, 7:18:41 PM)",,HOMER1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,KRT18,
"Pop2 high (3/5/2025, 7:18:41 PM)",,AC067956.1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,SCN2A,
"Pop2 high (3/5/2025, 7:18:41 PM)",,DIPK2B,
"Pop2 high (3/5/2025, 7:18:41 PM)",,PVT1,
"Pop2 high (3/5/2025, 7:18:41 PM)",,COL5A3,
